symbol,datetime,security_id,bid_price,bid_order_qty,bid_executed_qty,ask_order_qty,ask_executed_qty
CS2503,2025-02-12 20:59:02.420000-11:00,205000008290,2559,144,89,154,79
CS2503,2025-02-12 21:00:00.124000-11:00,205000008290,2559,150,93,164,79
CS2503,2025-02-12 21:00:00.515000-11:00,205000008290,2559,191,111,166,136
CS2503,2025-02-12 21:00:01.018000-11:00,205000008290,2559,210,113,170,153
CS2503,2025-02-12 21:00:01.249000-11:00,205000008290,2559,210,113,170,153
CS2503,2025-02-12 21:00:01.471000-11:00,205000008290,2559,210,113,170,153
CS2503,2025-02-12 21:00:01.679000-11:00,205000008290,2559,210,113,170,153
CS2503,2025-02-12 21:00:01.862000-11:00,205000008290,2559,210,113,170,153
CS2503,2025-02-12 21:00:02.084000-11:00,205000008290,2559,210,113,170,153
CS2503,2025-02-12 21:00:02.228000-11:00,205000008290,2559,210,113,170,153
CS2503,2025-02-12 21:00:02.382000-11:00,205000008290,2559,210,113,170,153
CS2503,2025-02-12 21:00:02.592000-11:00,205000008290,2559,210,113,170,153
CS2503,2025-02-12 21:00:02.859000-11:00,205000008290,2559,210,113,170,153
CS2503,2025-02-12 21:00:03.093000-11:00,205000008290,2562,206,201,211,196
CS2503,2025-02-12 21:00:03.379000-11:00,205000008290,2562,256,201,255,202
CS2503,2025-02-12 21:00:03.586000-11:00,205000008290,2562,270,201,261,210
CS2503,2025-02-12 21:00:03.859000-11:00,205000008290,2562,310,221,300,231
CS2503,2025-02-12 21:00:04.081000-11:00,205000008290,2562,313,222,302,233
CS2503,2025-02-12 21:00:04.377000-11:00,205000008290,2562,324,228,305,247
CS2503,2025-02-12 21:00:04.585000-11:00,205000008290,2562,325,262,338,249
CS2503,2025-02-12 21:00:04.857000-11:00,205000008290,2562,327,264,340,251
CS2503,2025-02-12 21:00:05.135000-11:00,205000008290,2562,348,272,342,278
CS2503,2025-02-12 21:00:05.396000-11:00,205000008290,2562,379,275,373,281
CS2503,2025-02-12 21:00:05.664000-11:00,205000008290,2562,383,280,373,290
CS2503,2025-02-12 21:00:05.867000-11:00,205000008290,2562,385,283,375,293
CS2503,2025-02-12 21:00:06.089000-11:00,205000008290,2562,394,296,377,313
CS2503,2025-02-12 21:00:06.379000-11:00,205000008290,2562,402,296,382,316
CS2503,2025-02-12 21:00:06.589000-11:00,205000008290,2562,409,297,383,323
CS2503,2025-02-12 21:00:06.865000-11:00,205000008290,2562,416,297,390,323
CS2503,2025-02-12 21:00:07.094000-11:00,205000008290,2562,432,306,408,330
CS2503,2025-02-12 21:00:07.368000-11:00,205000008290,2562,437,306,410,333
CS2503,2025-02-12 21:00:07.628000-11:00,205000008290,2562,441,308,413,336
CS2503,2025-02-12 21:00:07.859000-11:00,205000008290,2562,477,308,419,366
CS2503,2025-02-12 21:00:08.084000-11:00,205000008290,2562,483,313,420,376
CS2503,2025-02-12 21:00:08.366000-11:00,205000008290,2562,485,315,424,376
CS2503,2025-02-12 21:00:08.627000-11:00,205000008290,2562,498,317,431,384
CS2503,2025-02-12 21:00:08.869000-11:00,205000008290,2562,500,322,431,391
CS2503,2025-02-12 21:00:09.089000-11:00,205000008290,2562,500,324,432,392
CS2503,2025-02-12 21:00:09.379000-11:00,205000008290,2562,501,329,434,396
CS2503,2025-02-12 21:00:09.588000-11:00,205000008290,2562,515,347,435,427
CS2503,2025-02-12 21:00:09.864000-11:00,205000008290,2562,522,348,435,435
CS2503,2025-02-12 21:00:10.123000-11:00,205000008290,2562,527,367,435,459
CS2503,2025-02-12 21:00:10.399000-11:00,205000008290,2562,527,369,435,461
CS2503,2025-02-12 21:00:10.618000-11:00,205000008290,2562,528,369,435,462
CS2503,2025-02-12 21:00:10.872000-11:00,205000008290,2562,528,390,437,481
CS2503,2025-02-12 21:00:11.088000-11:00,205000008290,2562,538,391,437,492
CS2503,2025-02-12 21:00:11.366000-11:00,205000008290,2562,539,398,445,492
CS2503,2025-02-12 21:00:11.635000-11:00,205000008290,2562,543,400,450,493
CS2503,2025-02-12 21:00:11.860000-11:00,205000008290,2562,549,401,450,500
CS2503,2025-02-12 21:00:12.089000-11:00,205000008290,2562,570,403,452,521
CS2503,2025-02-12 21:00:12.365000-11:00,205000008290,2562,575,404,458,521
CS2503,2025-02-12 21:00:12.600000-11:00,205000008290,2562,611,405,471,545
CS2503,2025-02-12 21:00:12.869000-11:00,205000008290,2562,630,407,472,565
CS2503,2025-02-12 21:00:13.091000-11:00,205000008290,2562,632,407,472,567
CS2503,2025-02-12 21:00:13.365000-11:00,205000008290,2562,635,407,474,568
CS2503,2025-02-12 21:00:13.631000-11:00,205000008290,2562,648,417,484,581
